web_scraper_order,web_scraper_start_url,Marque,Modele,prix,Kilometrage,Boite_de_vitesse,Region_de_vente,Annee,pagination
"1786243695-11","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2004 Peugeot 605","2004 Peugeot 605","CFA 2 200 000","160 000 km","A bazarder Peugeot 605 en excellent etat/ Diesel Manuel. Prix: 2.200.000f Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2004 Peugeot 605",""
"1786243695-12","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2011 Ford Escape","2011 Ford Escape","CFA 4 000 000","109 400 km","Wanter FORD ESCAPE année 2011 4cylindre automatique essence kilométrage 109400 prix: 4 millions Contact Appel ou Whatsapp: 764823888 ou 782718278.","Dakar","2011 Ford Escape",""
"1786243695-13","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Renault Laguna","2007 Renault Laguna","CFA 2 300 000","84 000 km","Renault Laguna Break Manuelle Essence Allumage Clé Carte Année 2007 Kilométrage moins de 84.000 km Prix : 2.300.000 fcfa Contact: 782718278 ou 764823888 Visible à Diamalaye...","Dakar","2007 Renault Laguna",""
"1786243695-14","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 307","2007 Peugeot 307","CFA 2 100 000","132 000 km","????????????Wanter Wanter ????????????Peugeot 307 type2/ 2007 /diesel manuel 132.000km. Prix: 2.100.000f Contact Appel ou Whatsapp: 771873537 ou 764823888 ou 782718278","Dakar","2007 Peugeot 307",""
"1786243695-15","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Dacia Logan","2009 Dacia Logan","CFA 2 200 000","160 000 km","Wanter Dacia Logan 7 places mentionnées 5 places sur la carte a grise/ Moteur R19 en excellent etat/ Annee: 2009/ Diesel Manuel. Prix: 2.200.000f Contact: 782718278 ou 764823888","Dakar","2009 Dacia Logan",""
"1786243695-16","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Volkswagen Passat","2007 Volkswagen Passat","CFA 2 900 000","265 000 km","Vente Golf Passat Break/ Diesel Manuel/Climatisé/ Annee: 2007/ 265.000km Moteur d'origine 2.0 TDI Tout le système électronique marche Rien à signaler Prix bazard: 2.900.000f Contact Appel ou Whatsapp: 764823888 ou 782718278","Dakar","2007 Volkswagen Passat",""
"1786243695-17","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Renault Megane","2006 Renault Megane","CFA 1 700 000","180 000 km","Megane Z Annee: 2006 / Diesel Manuel/ Prix: 1.700.000f Contact: 782718278 ou 764823888","Dakar","2006 Renault Megane",""
"1786243695-18","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2002 Renault 21","2002 Renault 21","CFA 2 700 000","160 000 km","Wanter Taxi R21/ Diesel Manuel. Prix last: 2.700.000f Contact: 782718278 ou 764823888","Dakar","2002 Renault 21",""
"1786243695-19","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 407","2007 Peugeot 407","CFA 2 800 000","120 000 km","Peugeot 407 Diesel manuel 16 HDI année 2007 Prix: 2.800.000 fcfa Contact:782718278 ou 764823888","Dakar","2007 Peugeot 407",""
"1786243695-20","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Citroen C4","2008 Citroen C4","CFA 2 100 000","160 000 km","A Bazarder Citroen C4 en excellent etat/ Essence Manuel. Prix: 2.100.000f Contact: 782718278 ou 764823888","Dakar","2008 Citroen C4",""
"1786243698-21","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Mitsubishi L200","2008 Mitsubishi L200","CFA 7 200 000","160 000 km","📡🔊 MITSUBISHI DID SPORTERO double Cabine 2008 DIESEL MANUEL : Prix 7.200.000f ⏳⏳⏳ Contact: 782718278 ou 764823888","Dakar","2008 Mitsubishi L200","https://www.gaaraas.com/fr/users/dakar-auto?page=3"
"1786243698-22","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2003 Volkswagen Golf","2003 Volkswagen Golf","CFA 2 500 000","160 000 km","Golf4 diesel climatisé muté DK Prix: 2,5 millions Contact: 782718278 ou 764823888","Dakar","2003 Volkswagen Golf","https://www.gaaraas.com/fr/users/dakar-auto?page=3"
"1786243698-23","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Peugeot 206","2009 Peugeot 206","CFA 2 000 000","130 000 km","Vente Peugeot 206 tres propre/ manuel essence annee 2009 climatisee tres propre. Le prix last: 2.000.000f Contact Appel ou Whatsapp: 764823888 ou 782718278.","Dakar","2009 Peugeot 206","https://www.gaaraas.com/fr/users/dakar-auto?page=3"
"1786243698-24","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 307","2007 Peugeot 307","CFA 2 500 000","160 000 km","Vente peugeot 307 break diesel manuel /année 2007. Prix: 2.500.000f Contact: 782718278 ou 764823888","Dakar","2007 Peugeot 307","https://www.gaaraas.com/fr/users/dakar-auto?page=3"
"1786243698-25","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2002 Peugeot 405","2002 Peugeot 405","CFA 2 200 000","160 000 km","A Bazarder 405 Diesel Manuel. Prix last: 2.200.000f Contact: 782718278 ou 764823888","Dakar","2002 Peugeot 405","https://www.gaaraas.com/fr/users/dakar-auto?page=3"
"1786243698-26","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Citroen Berlingo","2008 Citroen Berlingo","CFA 3 300 000","214 000 km","A bazarder Citroen Berlingo 5places en tres bon etat/ Annee: 2008/Diesel Manuel/ 214409 km. Prix: 3.300.000f Contact: 782718278 ou 764823888","Dakar","2008 Citroen Berlingo","https://www.gaaraas.com/fr/users/dakar-auto?page=3"
"1786243698-27","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Hyundai Tucson","2006 Hyundai Tucson","CFA 3 000 000","164 231 km","Hyundai Tucson / Diesel manuel annee 2006/ 164231 kilometres. Prix: 3 millions Conract: 782718278 ou 764823888","Dakar","2006 Hyundai Tucson","https://www.gaaraas.com/fr/users/dakar-auto?page=3"
"1786243698-28","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Hyundai Tucson","2008 Hyundai Tucson","CFA 3 400 000","140 000 km","💫💫💫OFFRE DE LA SEMAINE 👉🏾Hyndai Tucson diesel ⛽ manuel en parfait état moteur nickel / Annee: 2008/ climatisatée. *Prix Bazard : 3.400 000 f Contact: 782718278 ou 764823888","Dakar","2008 Hyundai Tucson","https://www.gaaraas.com/fr/users/dakar-auto?page=3"
"1786243698-29","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 307","2007 Peugeot 307","CFA 2 500 000","120 000 km","A bazarder!! Peugeot 307 tres propre climatisé / essence automatique salon en cuir. Prix wanter: 2.500.000f Contact Appel ou Whatsapp: 782718278 ou 764823888.","Dakar","2007 Peugeot 307","https://www.gaaraas.com/fr/users/dakar-auto?page=3"
"1786243698-30","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 308","2007 Peugeot 308","CFA 2 800 000","230 000 km","Wanter!! Peugeot 308 climatisé/ Annee: 2007/ diesel manuel/ 230.000km. Prix last: 2.800.000f Contact Appel ou Whatsapp: 782718278 ou 764823888.","Dakar","2007 Peugeot 308","https://www.gaaraas.com/fr/users/dakar-auto?page=3"
"1786243698-31","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Nissan Murano","2008 Nissan Murano","CFA 3 200 000","115 305 km","A bazarder Nissan Murano automatique essence 2008 tout intact / 115.305 km/ Prix: 3.200.000f Contact: 782718278 ou 764823888","Dakar","2008 Nissan Murano","https://www.gaaraas.com/fr/users/dakar-auto?page=3"
"1786243698-32","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Skoda Octavia","2008 Skoda Octavia","CFA 1 900 000","160 000 km","Skoda octavia/ Diesel Manuel/ 2008. Prix: 1.900.000f Contact: 782718278 ou 764823888","Dakar","2008 Skoda Octavia","https://www.gaaraas.com/fr/users/dakar-auto?page=3"
"1786243698-33","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2012 Mitsubishi L200","2012 Mitsubishi L200","CFA 11 900 000","116 000 km","Mitsubishi L200 / Diesel/ Manuel/ Annee: 2012 toutes options régulièrement entretenue chez le concessionnaire / 116000 kms au compteur. Prix 11900000 f cfa. Contact: 782718278 ou 764823888","Dakar","2012 Mitsubishi L200","https://www.gaaraas.com/fr/users/dakar-auto?page=3"
"1786243698-34","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2012 Chevrolet Camaro","2012 Chevrolet Camaro","CFA 4 000 000","220 000 km","Chevrolet Cruise venant Toute Neuve Climatisée / Km: 220.000 / Diesel / Annee: 2012 / Manuel / Plaque verte/ Non dedouanee/ Tous les papiers sont en regles. Dernier Prix: 4.000.000 Contact: 782718278 ou 764823888","Dakar","2012 Chevrolet Camaro","https://www.gaaraas.com/fr/users/dakar-auto?page=3"
"1786243698-35","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Renault Logan","2007 Renault Logan","CFA 2 900 000","160 000 km","Taxi 🚖 Dacia Logan 7 places diesel ⛽/ Manuel/ avec licence papiers en règle en parfait état assurance *Prix : 2.900.000 Fr *🤠 Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2007 Renault Logan","https://www.gaaraas.com/fr/users/dakar-auto?page=3"
"1786243698-36","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2004 Mercedes‒Benz 190","2004 Mercedes‒Benz 190","CFA 2 200 000","140 000 km","Wanter du siecle! Mercedes 190 en excellent etat/ Gasoil Manuel. Prix bazard: 2.200.000f Contact appel ou Whatsapp: 764823888 ou 782718278","Dakar","2004 Mercedes‒Benz 190","https://www.gaaraas.com/fr/users/dakar-auto?page=3"
"1786243698-37","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2000 Renault 19","2000 Renault 19","CFA 1 800 000","180 000 km","A Bazarder R19 a Bas PriX/Diesel manuel. Prix Last: 1.800.000f Contact: 782718278 ou 764823888","Dakar","2000 Renault 19","https://www.gaaraas.com/fr/users/dakar-auto?page=3"
"1786243698-38","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Volkswagen Passat","2007 Volkswagen Passat","CFA 2 000 000","90 000 km","Passat automatique essence / 90.000 au compteur/ Annee: 2007/ Prix: 2 millions Contact: 782718278 ou 764823888","Dakar","2007 Volkswagen Passat","https://www.gaaraas.com/fr/users/dakar-auto?page=3"
"1786243698-39","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2012 Peugeot 308","2012 Peugeot 308","CFA 3 800 000","103 000 km","A Bazarder Peugeot 308/ Diesel manuel / Annee: 2012/ Prix: 3.800.000f Contact: 782718278 ou 764823888","Dakar","2012 Peugeot 308","https://www.gaaraas.com/fr/users/dakar-auto?page=3"
"1786243698-40","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Daewoo Matiz","2009 Daewoo Matiz","CFA 3 000 000","120 000 km","Dacia 7 places /Annee 2008 /Prix: 3millions Contact: 782718278 ou 764823888","Dakar","2009 Daewoo Matiz","https://www.gaaraas.com/fr/users/dakar-auto?page=3"
"1786243701-41","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2012 Nissan Altima","2012 Nissan Altima","CFA 3 000 000","130 000 km","A bazarder Nissan Altima Climatisé tres propre/ Annee: 2012/ Automatique essence/ 130.000km. Prix: 3 millions Contact Appel ou Whatsapp: 764823888 ou 782718278","Dakar","2012 Nissan Altima","https://www.gaaraas.com/fr/users/dakar-auto?page=4"
"1786243701-42","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2013 Hyundai Elantra","2013 Hyundai Elantra","CFA 6 500 000","66 000 km","Marque : Hyundai Modèl : Elantra Transimission : Automatique Essence Couleur : Noir Année : 2013 KM : Moin de 100MIL Commande au volant, démarrage a distance jante alu Déjà dédouané à Dakar‼ Prix: 6.500.000f Contact: 782718278 ou 764823888","Dakar","2013 Hyundai Elantra","https://www.gaaraas.com/fr/users/dakar-auto?page=4"
"1786243701-43","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Hyundai Getz","2008 Hyundai Getz","CFA 1 800 000","98 000 km","Wanter en urgence! Hyundai Getz climatisé/ 2008/ 98.000km/ essence manuel. Prix Wanter: 1.800.000f Contact Appel ou Whatsapp: 782718278 ou 764823888.","Dakar","2008 Hyundai Getz","https://www.gaaraas.com/fr/users/dakar-auto?page=4"
"1786243701-44","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Toyota Camry","2009 Toyota Camry","CFA 3 500 000","145 000 km","Wanter vite fais! Toyota Camry en excellent etat climatisé/ Essence automatique/ Annee: 2009/ 145.000 km. Prix wanter: 3.500.000f Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2009 Toyota Camry","https://www.gaaraas.com/fr/users/dakar-auto?page=4"
"1786243701-45","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Dacia Logan","2010 Dacia Logan","CFA 2 000 000","161 000 km","Vente Taxi Dacia Logan 2010 / Diesel Manuel/ 161.000km/Prix: 2millions last Contact: 782718278 ou 764823888","Dakar","2010 Dacia Logan","https://www.gaaraas.com/fr/users/dakar-auto?page=4"
"1786243701-46","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 307","2007 Peugeot 307","CFA 2 200 000","160 000 km","A bazarder Peugeot 307 / diesel manuel/ Annee: 2007 Prix last: 2.200.000f Contact: 782718278 ou 764823888","Dakar","2007 Peugeot 307","https://www.gaaraas.com/fr/users/dakar-auto?page=4"
"1786243701-47","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2014 Ford Focus","2014 Ford Focus","CFA 4 500 000","115 000 km","Ford focus 2014 essence automatique full option salon cuire grand ecran toit ouvrant/ 115000km. Prix: 4,5 millions Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2014 Ford Focus","https://www.gaaraas.com/fr/users/dakar-auto?page=4"
"1786243701-48","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 307","2007 Peugeot 307","CFA 2 400 000","160 000 km","307 break type1 essence manuel. PriX: 2.400.000f Contact: 782718278 ou 764823888","Dakar","2007 Peugeot 307","https://www.gaaraas.com/fr/users/dakar-auto?page=4"
"1786243701-49","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2003 Peugeot 406","2003 Peugeot 406","CFA 2 600 000","160 000 km","Peugeot 406 Type 2 tout intact et propre, Papiers complets/Diesel Manuel. Prix: 2.600.000f last Contact: 782718278 ou 764823888","Dakar","2003 Peugeot 406","https://www.gaaraas.com/fr/users/dakar-auto?page=4"
"1786243701-50","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Hyundai Tucson","2009 Hyundai Tucson","CFA 4 000 000","140 000 km","Hyundai Tucson diesel manuel climatisé année 2009 Prix:4 millions! tres propre Contact Appel ou Whatsapp: 764823888 ou 782718278","Dakar","2009 Hyundai Tucson","https://www.gaaraas.com/fr/users/dakar-auto?page=4"
"1786243701-51","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Peugeot 308","2009 Peugeot 308","CFA 3 300 000","256 730 km","Peugeot 308 climatisé/Diesel Manuel/Annee: 2009/ 256730km. Prix last: 3.300.000f Contact: 782718278 ou 764823888","Dakar","2009 Peugeot 308","https://www.gaaraas.com/fr/users/dakar-auto?page=4"
"1786243701-52","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Peugeot 308","2009 Peugeot 308","CFA 2 300 000","311 368 km","A bazarder peugeot 308 tout intact /Diesel Manuel/ Annee: 2009/ 311368 km. Prix last: 2.300.000f Contact: 782718278 ou 764823888","Dakar","2009 Peugeot 308","https://www.gaaraas.com/fr/users/dakar-auto?page=4"
"1786243701-53","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2011 Honda Elysion","2011 Honda Elysion","CFA 3 500 000","160 000 km","Wanter 4X4 Honda a bas prix/ Essence automatique climatisé/ Annee 2011. Prix last: 3.500.000 Contact: 782718278 ou 764823888","Dakar","2011 Honda Elysion","https://www.gaaraas.com/fr/users/dakar-auto?page=4"
"1786243701-54","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Citroen C3","2008 Citroen C3","CFA 2 100 000","110 000 km","A bazarder Citroen C3 diesel manuel/ Annee: 2008 climatisé plus de 100.000 km très propre papiers complet. Prix: 2.100.000f Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2008 Citroen C3","https://www.gaaraas.com/fr/users/dakar-auto?page=4"
"1786243701-55","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2005 Citroen C5","2005 Citroen C5","CFA 2 100 000","334 000 km","Wanter en urgence!! Citroen C4 en excellent etat/ Diesel manuel/ Annee: 2005 / 334.000km. Prix wanter: 2.100.000f Contact Appel ou Whatsapp: 782718278 ou 764823888.","Dakar","2005 Citroen C5","https://www.gaaraas.com/fr/users/dakar-auto?page=4"
"1786243701-56","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2005 Toyota Auris","2005 Toyota Auris","CFA 3 500 000","179 315 km","💫💫TOYOTA AURIS CARBURANT ⛽GASOIL BOITE 🚦MANUEL ANNÉE 2005 CLIMATISATION MOTEUR Chaine 179315KM . PriX: 3.500.000f Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2005 Toyota Auris","https://www.gaaraas.com/fr/users/dakar-auto?page=4"
"1786243701-57","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Citroen C3","2008 Citroen C3","CFA 2 300 000","128 000 km","C3 en tres bon etat/ Diesel manuel / Climatisé / Moteur impect. Prix: 2.300.000f Contact: 782718278 ou 764823888","Dakar","2008 Citroen C3","https://www.gaaraas.com/fr/users/dakar-auto?page=4"
"1786243701-58","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Ford Focus","2006 Ford Focus","CFA 2 150 000","160 000 km","💫💫💫Dernier virage la promotion continue chez * Ford Focus diesel ⛽ manuel en parfait état moteur nickel * Prix wanterrr : 2.150.000 Fr last*🤠 Contact: 782718278 ou 764823888","Dakar","2006 Ford Focus","https://www.gaaraas.com/fr/users/dakar-auto?page=4"
"1786243701-59","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Toyota RAV4","2008 Toyota RAV4","CFA 2 900 000","130 000 km","Wanter du jour Rav4 diesel manuel très bon état papier en règle. Prix: 2.900.000f Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2008 Toyota RAV4","https://www.gaaraas.com/fr/users/dakar-auto?page=4"
"1786243701-60","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2000 Peugeot 309","2000 Peugeot 309","CFA 2 800 000","130 000 km","Wanter Taxi Peugeot 309 en excellent etat/ Diesel Manuel. Prix: 2.800.000f Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2000 Peugeot 309","https://www.gaaraas.com/fr/users/dakar-auto?page=4"
"1786243704-61","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Citroen C3","2006 Citroen C3","CFA 1 500 000","160 000 km","Wanter Taxi C3/ Diesel Manuel/ Annee: 2006. Prix last: 1.500.000f Contact: 782718278 ou 764823888","Dakar","2006 Citroen C3","https://www.gaaraas.com/fr/users/dakar-auto?page=5"
"1786243704-62","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2000 Renault 19","2000 Renault 19","CFA 2 000 000","160 000 km","A bazarder Renault 19/ Diesel Manuel en bon etat. Prix: 2 millions Contact Appel ou whatsapp: 782718278 ou 764823888","Dakar","2000 Renault 19","https://www.gaaraas.com/fr/users/dakar-auto?page=5"
"1786243704-63","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Citroen C3","2007 Citroen C3","CFA 2 000 000","180 000 km","C 3 diesel manuelle climatisé entretien année 2007 papier règles prix 2.000.000f Contact: 782718278 ou 764823888","Dakar","2007 Citroen C3","https://www.gaaraas.com/fr/users/dakar-auto?page=5"
"1786243704-64","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Ford Fusion","2009 Ford Fusion","CFA 2 000 000","144 000 km","Wanter!! Ford fusion SE essence automatique Année 2009 144000km Prix last: 2 millions Contact Appel ou Whatsapp: 782718278 ou 764823888.","Dakar","2009 Ford Fusion","https://www.gaaraas.com/fr/users/dakar-auto?page=5"
"1786243704-65","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Renault Megane","2006 Renault Megane","CFA 1 600 000","180 000 km","Megane Z/ Diesel Manuel/ annee 2006/ Prix last: 1 600 000f Contact: 782718278 ou 764823888","Dakar","2006 Renault Megane","https://www.gaaraas.com/fr/users/dakar-auto?page=5"
"1786243704-66","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2011 Mitsubishi ASX","2011 Mitsubishi ASX","CFA 6 000 000","94 954 km","Mitsubishi asx 2011, manuelle diésel intérieur cuir 94954km. Prix: 6 000 000f Contact: 782718278 ou 764823888","Dakar","2011 Mitsubishi ASX","https://www.gaaraas.com/fr/users/dakar-auto?page=5"
"1786243704-67","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Citroen C5","2008 Citroen C5","CFA 2 700 000","130 000 km","Citroën c5 Année 2008 Essence Manuelle (5vitesses) En très bon état Prix fixe: 2.700.000Fcfa Contact Appel ou Whatsapp: 782718278 ou 764823888.","Dakar","2008 Citroen C5","https://www.gaaraas.com/fr/users/dakar-auto?page=5"
"1786243704-68","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Ford Edge","2008 Ford Edge","CFA 7 000 000","125 000 km","Edge 2008 automatique essence kilomètrage 125mille/Toit panoramique / Moteur V6 2.7 / Prix: 7 millions Contact: 782718278 ou 764823888","Dakar","2008 Ford Edge","https://www.gaaraas.com/fr/users/dakar-auto?page=5"
"1786243704-69","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Peugeot 308","2008 Peugeot 308","CFA 2 500 000","140 000 km","Peugeot 308 2008 140000km Manuel essence Climatisé carrosserie à prevoir Wanterr 2.500.000 Contact: 782718278 ou 764823888","Dakar","2008 Peugeot 308","https://www.gaaraas.com/fr/users/dakar-auto?page=5"
"1786243704-70","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 307","2007 Peugeot 307","CFA 2 300 000","210 000 km","diesel manuel kilométrage 210000 prix last 2300000 Contact: 782718278","Dakar","2007 Peugeot 307","https://www.gaaraas.com/fr/users/dakar-auto?page=5"
"1786243704-71","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Kia Soul","2010 Kia Soul","CFA 3 500 000","172 900 km","Vente Kia Soul climatisé/ Essence Manuel / Annee: 2010/ 172996km. Prix : 3.500.000f Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2010 Kia Soul","https://www.gaaraas.com/fr/users/dakar-auto?page=5"
"1786243704-72","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Peugeot 307","2008 Peugeot 307","CFA 2 800 000","160 000 km","A Bazarder 307 Break 7places/ Diesel Manuel/ Annee: 2008 /sur la carte a grise c'est bien mentionné 7places. Prix: 2.800.000f Contact: 782718278 ou 764823888","Dakar","2008 Peugeot 307","https://www.gaaraas.com/fr/users/dakar-auto?page=5"
"1786243704-73","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 307","2007 Peugeot 307","CFA 2 100 000","140 000 km","Wanter Peugeot 307 Type 2 / Diesel Manuel. Tres propre! Prix last: 2.100.000f Contact Appel ou Whatsapp: 771873537 ou 764823888 ou 782718278","Dakar","2007 Peugeot 307","https://www.gaaraas.com/fr/users/dakar-auto?page=5"
"1786243704-74","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Renault Megane","2008 Renault Megane","CFA 1 600 000","160 000 km","Megane Z / Diesel Manuel/ annee 2008 / Prix: 1.600.000f Last Contact: 782718278 ou 764823888","Dakar","2008 Renault Megane","https://www.gaaraas.com/fr/users/dakar-auto?page=5"
"1786243704-75","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2002 Peugeot 406","2002 Peugeot 406","CFA 2 200 000","140 000 km","A bazarder 406 à vendr manuelle diesel mauteur 405 climatisé a un bon prix 2.200.000f Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2002 Peugeot 406","https://www.gaaraas.com/fr/users/dakar-auto?page=5"
