Marque,Modele,Annee,Prix,Kilometrage,Boite_de_vitesse,Region_de_vente
2004,605,2004,2200000.0,160000,Manuelle,Dakar
2004,307,2004,2700000.0,140000,Manuelle,Dakar
2013,Elantra,2013,6500000.0,66000,Automatique,Dakar
2007,807,2007,2800000.0,160000,Manuelle,Dakar
2012,308,2012,3800000.0,103000,Manuelle,Dakar
2007,Laguna,2007,2300000.0,84000,Manuelle,Dakar
2000,309,2000,2800000.0,130000,Manuelle,Dakar
2012,Octavia,2012,4000000.0,70000,Manuelle,Dakar
2007,307,2007,2500000.0,160000,Manuelle,Dakar
2006,L200,2006,7500000.0,160000,Manuelle,Dakar
2007,Kyron,2007,2000000.0,120000,Automatique,Dakar
2012,Altima,2012,3000000.0,130000,Automatique,Dakar
2008,307,2008,1900000.0,160000,Manuelle,Dakar
2002,19,2002,2100000.0,160000,Manuelle,Dakar
2011,Sonata,2011,3500000.0,66000,Automatique,Dakar
2014,Qashqai,2014,7800000.0,63000,Automatique,Dakar
2010,6,2010,4000000.0,182000,Automatique,Dakar
2011,Murano,2011,2300000.0,188000,Automatique,Dakar
2004,Clio,2004,1900000.0,120000,Manuelle,Dakar
2014,Altima,2014,2500000.0,110000,Automatique,Dakar
2010,Soul,2010,3500000.0,172900,Manuelle,Dakar
2008,Getz,2008,1800000.0,98000,Manuelle,Dakar
2008,Murano,2008,3200000.0,115305,Automatique,Dakar
2012,207,2012,3800000.0,142000,Automatique,Dakar
2008,Spacestar,2008,2000000.0,160000,Manuelle,Dakar
2007,307,2007,2000000.0,160000,Manuelle,Dakar
2009,Camry,2009,3500000.0,145000,Automatique,Dakar
2006,Escape,2006,4500000.0,120000,Automatique,Dakar
2007,Passat,2007,2000000.0,90000,Automatique,Dakar
2007,407,2007,2800000.0,120000,Manuelle,Dakar
2014,Focus,2014,4500000.0,115000,Automatique,Dakar
2009,Sorento,2009,3800000.0,140000,Manuelle,Dakar
2003,Astra,2003,2500000.0,160000,Manuelle,Dakar
2003,406,2003,2600000.0,160000,Manuelle,Dakar
2006,Focus,2006,2150000.0,160000,Manuelle,Dakar
2004,190,2004,2200000.0,140000,Manuelle,Dakar
2006,Tucson,2006,3000000.0,164231,Manuelle,Dakar
2008,C4,2008,2100000.0,160000,Manuelle,Dakar
2008,Rover Range Rover Sport,2008,6000000.0,130000,Automatique,Dakar
2007,307,2007,2000000.0,160000,Manuelle,Dakar
2009,Logan,2009,2200000.0,160000,Manuelle,Dakar
2002,405,2002,2200000.0,160000,Manuelle,Dakar
2007,308,2007,2800000.0,230000,Manuelle,Dakar
2008,C3,2008,2100000.0,110000,Manuelle,Dakar
2007,Logan,2007,2900000.0,160000,Manuelle,Dakar
2000,19,2000,1800000.0,180000,Manuelle,Dakar
2008,RAV4,2008,2900000.0,130000,Manuelle,Dakar
2007,307,2007,2500000.0,120000,Automatique,Dakar
2007,315,2007,1500000.0,120000,Manuelle,Dakar
2010,Patriot,2010,3900000.0,140000,Manuelle,Dakar
2008,206,2008,2300000.0,164000,Manuelle,Dakar
2011,ASX,2011,6000000.0,94954,Manuelle,Dakar
2008,C3,2008,1800000.0,160000,Manuelle,Dakar
2009,L200,2009,7800000.0,160000,Manuelle,Dakar
2007,307,2007,2400000.0,160000,Manuelle,Dakar
2008,308,2008,3300000.0,120000,Manuelle,Dakar
2008,Corolla,2008,3300000.0,140000,Manuelle,Dakar
2010,X1,2010,3700000.0,150000,Automatique,Dakar
2008,207,2008,1800000.0,120000,Manuelle,Dakar
2002,21,2002,2700000.0,160000,Manuelle,Dakar
2007,307,2007,2100000.0,132000,Manuelle,Dakar
2007,Passat,2007,1600000.0,120000,Manuelle,Dakar
2006,Megane,2006,1600000.0,180000,Manuelle,Dakar
2008,C5,2008,2700000.0,130000,Manuelle,Dakar
2008,Octavia,2008,1900000.0,160000,Manuelle,Dakar
2008,Carnival,2008,2500000.0,160000,Manuelle,Dakar
2008,307,2008,3200000.0,128000,Manuelle,Dakar
2011,C3,2011,2800000.0,136000,Manuelle,Dakar
2013,Sail,2013,2200000.0,90000,Manuelle,Dakar
2006,Scenic,2006,2300000.0,200000,Manuelle,Dakar
2004,Corolla,2004,2700000.0,28752,Manuelle,Dakar
2009,Sandero,2009,2800000.0,140000,Manuelle,Dakar
2006,C3,2006,1500000.0,160000,Manuelle,Dakar
2000,19,2000,2000000.0,160000,Manuelle,Dakar
2007,C3,2007,2000000.0,180000,Manuelle,Dakar
2009,Fusion,2009,2000000.0,144000,Automatique,Dakar
2007,Laguna,2007,2000000.0,160000,Manuelle,Dakar
2009,Rogue,2009,5500000.0,160000,Automatique,Dakar
2011,Edge,2011,10000000.0,105000,Automatique,Dakar
2007,C4,2007,2100000.0,160000,Manuelle,Dakar
2012,Octavia,2012,3500000.0,147000,Manuelle,Dakar
2007,Berlingo,2007,2000000.0,140000,Manuelle,Dakar
2008,Berlingo,2008,2300000.0,160000,Manuelle,Dakar
2010,207,2010,3200000.0,144410,Manuelle,Dakar
2007,307,2007,2300000.0,137000,Manuelle,Dakar
2009,206,2009,2000000.0,130000,Manuelle,Dakar
2004,Laguna,2004,2000000.0,160000,Manuelle,Dakar
2004,250,2004,1900000.0,160000,Manuelle,Dakar
2013,Qashqai+2,2013,6500000.0,101000,Manuelle,Dakar
2011,Escape,2011,4300000.0,130000,Manuelle,Dakar
2007,307,2007,2100000.0,90000,Manuelle,Dakar
2013,Elantra,2013,5800000.0,21000,Automatique,Dakar
2012,Endeavor,2012,4300000.0,100000,Automatique,Dakar
2011,508,2011,5500000.0,179000,Automatique,Dakar
2006,C3,2006,1900000.0,160000,Manuelle,Dakar
2007,Scenic,2007,1950000.0,160000,Manuelle,Dakar
2009,Nemo,2009,2400000.0,160000,Manuelle,Dakar
2006,407,2006,2300000.0,291000,Manuelle,Dakar
2010,Versa,2010,2500000.0,120000,Automatique,Dakar
2005,Scenic,2005,1500000.0,180000,Manuelle,Dakar
2006,Megane,2006,1800000.0,160000,Manuelle,Dakar
2007,407,2007,2600000.0,180000,Manuelle,Dakar
2000,190,2000,2400000.0,160000,Manuelle,Dakar
2012,Kangoo,2012,4500000.0,264127,Manuelle,Dakar
2010,Clio,2010,2700000.0,120000,Manuelle,Dakar
2008,Logan,2008,3000000.0,160000,Manuelle,Dakar
2007,Laguna,2007,1400000.0,180000,Manuelle,Dakar
2008,307,2008,2200000.0,160000,Manuelle,Dakar
2008,C3,2008,2000000.0,200000,Manuelle,Dakar
2010,C4,2010,2200000.0,289983,Manuelle,Dakar
2009,Astra,2009,1500000.0,160000,Manuelle,Dakar
2000,17,2000,6000000.0,160000,Manuelle,Dakar
2008,2,2008,1100000.0,140000,Manuelle,Dakar
2007,307,2007,2200000.0,160000,Manuelle,Dakar
2006,Sonata,2006,2000000.0,140000,Automatique,Dakar
2006,406,2006,2500000.0,160000,Manuelle,Dakar
2010,Tucson,2010,4200000.0,79044,Manuelle,Dakar
1989,190,1989,1900000.0,160000,Manuelle,Dakar
2009,Sebring,2009,2000000.0,99000,Automatique,Dakar
2010,Camry,2010,4500000.0,110000,Automatique,Dakar
2010,Octavia,2010,2600000.0,160000,Manuelle,Dakar
2013,Sonata,2013,5200000.0,92000,Manuelle,Dahra
2010,Corolla,2010,3500000.0,88997,Manuelle,Dakar
2009,308,2009,2600000.0,120000,Manuelle,Dakar
2008,Avensis,2008,2500000.0,160000,Manuelle,Dakar
2007,Corolla,2007,4300000.0,235000,Manuelle,Dakar
2005,Golf,2005,2200000.0,180000,Manuelle,Dakar
2002,21,2002,2200000.0,160000,Manuelle,Dakar
2006,Avensis,2006,1600000.0,186000,Manuelle,Dakar
2007,Verso,2007,2500000.0,313000,Manuelle,Dakar
2007,Safrane,2007,2200000.0,160000,Manuelle,Dakar
2008,Scenic,2008,2000000.0,130000,Manuelle,Dakar
2008,A113,2008,1700000.0,79000,Manuelle,Dakar
2007,Clio,2007,1750000.0,120000,Manuelle,Dakar
2009,Megane,2009,3300000.0,233200,Manuelle,Dakar
2012,508,2012,4700000.0,102220,Manuelle,Dakar
2007,C4,2007,2200000.0,160000,Manuelle,Dakar
2008,308,2008,2800000.0,160000,Manuelle,Dakar
2007,Yaris,2007,2700000.0,180000,Manuelle,Dakar
2011,Juke,2011,5500000.0,157000,Manuelle,Dakar
2007,Focus,2007,2700000.0,100000,Automatique,Dakar
2010,Corolla,2010,3200000.0,90000,Manuelle,Dakar
2007,190,2007,2900000.0,160000,Automatique,Dakar
2010,Rogue,2010,8500000.0,84500,Automatique,Dakar
2005,Santa Fe,2005,3500000.0,300000,Manuelle,Dakar
2015,Focus,2015,5800000.0,29000,Automatique,Dakar
2010,807,2010,4800000.0,160000,Manuelle,Dakar
2007,407,2007,2000000.0,110000,Manuelle,Dakar
2000,205,2000,1500000.0,160000,Manuelle,Dakar
2007,RAV4,2007,4000000.0,145000,Manuelle,Dakar
2008,307,2008,2000000.0,120000,Manuelle,Dakar
2006,Scenic,2006,2200000.0,140000,Manuelle,Dakar
2011,Teana,2011,8000000.0,90000,Manuelle,Dakar
2010,Sandero,2010,2200000.0,160000,Manuelle,Dakar
2008,Niva,2008,1500000.0,160000,Manuelle,Dakar
2009,Logan,2009,2800000.0,500000,Manuelle,Dakar
2003,406,2003,2400000.0,160000,Manuelle,Dakar
2015,Patriot,2015,9500000.0,51200,Automatique,Dakar
2008,Scenic,2008,2200000.0,16000,Manuelle,Dakar
2011,Escape,2011,5800000.0,0,Automatique,Dakar
2007,RAV4,2007,5200000.0,120000,Manuelle,Dakar
2006,Tucson,2006,4000000.0,298000,Manuelle,Dakar
2007,C3,2007,2400000.0,180000,Manuelle,Dakar
2000,205,2000,1400000.0,160000,Manuelle,Dakar
2005,307,2005,2100000.0,160000,Manuelle,Dakar
2013,Wrangler,2013,20000000.0,100000,Automatique,Dakar
2004,406,2004,2700000.0,120000,Manuelle,Dakar
1989,19,1989,1500000.0,140000,Manuelle,Dakar
2010,RAV4,2010,9600000.0,180000,Automatique,Dakar
2008,308,2008,2700000.0,160000,Manuelle,Dakar
2005,405,2005,1900000.0,120000,Manuelle,Dakar
2010,308,2010,2900000.0,120000,Manuelle,Dakar
2006,200SX,2006,1600000.0,180000,Manuelle,Dakar
2011,L200,2011,6000000.0,120000,Manuelle,Dakar
2006,Berlingo,2006,2400000.0,180000,Manuelle,Dakar
2004,305,2004,1600000.0,128000,Manuelle,Dakar
2007,Megane,2007,2700000.0,180000,Manuelle,Dakar
2012,Focus ST,2012,3300000.0,140000,Automatique,Dakar
2014,Escape,2014,8200000.0,105000,Manuelle,Dakar
2006,Xsara,2006,1800000.0,160000,Manuelle,Dakar
2012,308,2012,3900000.0,160000,Manuelle,Dakar
2008,C4,2008,2100000.0,90925,Manuelle,Dakar
2008,Megane,2008,1850000.0,120000,Manuelle,Dakar
2008,Logan,2008,2600000.0,137000,Manuelle,Dakar
2007,307,2007,2100000.0,175598,Manuelle,Dakar
2006,RAV4,2006,3500000.0,140000,Manuelle,Dakar
2007,Stilo,2007,2700000.0,160000,Manuelle,Dakar
2007,S3,2007,2000000.0,120000,Manuelle,Dakar
